product_id,category_id,description,like_count,product_name,price,quantity,rep_img
80,0,에너지효율 :?1등급용량 :?865L크기 :?91.2 ×185.3 × 93cm도어개수 :?4도어냉장실 :?512L냉동실 :?353L소비전력 :?42.7kWh(월)아이스메이커 :?슬림아이스메이커냉각 :?트리플독립냉각디스플레이 :?히든디스플레이컴프레서 :?인버터탈취 :?UV청정탈취도어핸들 :?가로핸들내부조명 :?LED구조 :?上냉장下냉동제품정보더보기,0,삼성전자 비스포크 RF85B9231AP,2155000,100,https://shopping-phinf.pstatic.net/main_3160692/31606929619.20220817173352.jpg?type=f640
81,0,에너지효율 :?2등급용량 :?255L크기 :?55.5 x 163.5 x 63.7cm냉장실 :?202L냉동실 :?53L도어개수 :?2도어내부조명 :?TOPLED냉각 :?멀티냉각서랍 :?자연야채실선반 :?슬라이드아이스메이커 :?트위스트아이스메이커컴프레서 :?인버터탈취 :?탈취기도어핸들 :?모던히든핸들소비전력 :?27.9kWh(월)색상 :?Elegant Inox제품정보더보기,0,삼성전자 삼성 RT25NARAHS8,368200,100,https://shopping-phinf.pstatic.net/main_1541088/15410881070.20181019174743.jpg?type=f640
82,0,"에너지효율 :?1등급용량 :?847L도어개수 :?4도어냉장실 :?502L냉동실 :?345L소비전력 :?41.7kWh(월)아이스메이커 :?오토아이스메이커냉각 :?트리플독립냉각서랍 :?야채실, 신선팬트리, 맞춤보관실, 에그트레이선반 :?접이식, 빅가드컴프레서 :?디지털인버터컴프레서탈취 :?이온살균청정기Plus, 청정탈취Plus, UV청정탈취홈바기능 :?베버리지센터내부조명 :?LED구조 :?上냉장下냉동디스펜서 :?정수형태 :?프리스탠딩제품정보더보기",0,삼성전자 삼성 RF85B92M1AP,3530000,100,https://shopping-phinf.pstatic.net/main_3136958/31369588618.20220318162051.jpg?type=f640
85,0,"용량 :?25L크기 :?36.7 x 39.6 x 44cm냉장실 :?25L도어개수 :?1도어내부조명 :?LED도어 :?UV코팅도어(자외선차단)디스플레이 :?LED디스플레이서랍 :?슬라이딩케이스, 비스포크수납존스마트기능 :?무선랜(WiFi)부가기능 :?온도표시, 온도설정, 도어알람, 저진동, 잠금장치, WiFi, LED라이팅재질 :?메탈형태 :?프리스탠딩색상 :?코타 화이트, 코타 차콜, 프라임 핑크, 펀 그린, 스카이 블루제품정보더보기",0,삼성전자 삼성 비스포크 큐브 냉장고 뷰티&헬스,549000,100,https://shopping-phinf.pstatic.net/main_2506715/25067159524.20201218174408.jpg?type=f640
90,0,"세척코스 :?강력, 표준, 자동, 급속, 헹굼건조형태 :?프리스탠딩용량 :?12인용부가기능 :?추가헹굼분사방식 :?회전노즐도어형태 :?상하개폐살균방식 :?고온선반 :?2단1회물소비량 :?10L이상예약 :?가능조작부 :?터치식제품크기 :?598*845*600색상 :?블랙 스테인리스용도 :?가정용소비전력 :?2,100W무게 :?47kg제품정보더보기",0,삼성전자 삼성 DW60T7075FG,594200,100,https://shopping-phinf.pstatic.net/main_2339057/23390579492.20200916152224.jpg?type=f640
91,0,"세척코스 :?표준, 스팀불림형태 :?빌트인도어형태 :?상하개폐세척기능 :?4단분사조작부 :?터치식용도 :?가정용제품정보더보기",0,삼성전자 비스포크 DW60A8075UG,699000,100,https://shopping-phinf.pstatic.net/main_3177417/31774174619.20220412170029.jpg?type=f640
93,0,"세척코스 :?강력, 표준, 에코, 급속, 살균, 센서, 통살균, 예약건조방식 :?자동건조, 살균건조, 자동문열림, 강력건조용량 :?6인용부가기능 :?세제,린스공급, 살균검증인증기능 :?살균+건조도어형태 :?상하개폐살균방식 :?고온세척기능 :?회전노즐, 상단날개, 하단날개, 고온직수강력세척1회물소비량 :?10L이하조작부 :?터치식제품크기 :?555 x 450 x 500mm색상 :?화이트용도 :?가정용소비전력 :?1,760~2,100W제품정보더보기",0,삼성전자 삼성 DW30A3030CE,790000,100,https://shopping-phinf.pstatic.net/main_2855662/28556624555.20220907140807.jpg?type=f640
94,0,"세척코스 :?강력, 표준, 에코, 급속, 통살균, 예약형태 :?카운터탑건조방식 :?자동문열림, 강력건조용량 :?6인용부가기능 :?살균검증인증살균방식 :?고온세척기능 :?회전노즐, 상단날개, 하단날개, 입체물살1회물소비량 :?10L이상안전기능 :?누수감지투입구 :?1구디스플레이 :?있음조작부 :?터치식제품크기 :?55.5 x 45 x 50cm전력량 :?0.68kWh용도 :?가정용소비전력 :?1,760~2,100W무게 :?21kg제품정보더보기",0,삼성전자 삼성 DW30A3030C,590000,100,https://shopping-phinf.pstatic.net/main_3135211/31352111623.20220907140526.jpg?type=f640
96,0,"세척코스 :?강력, 표준, 에코, 급속, 센서, 통살균, 예약형태 :?스탠드형건조방식 :?자동건조, 강력건조용량 :?6인용부가기능 :?살균검증인증기능 :?살균+건조분사방식 :?2중분사도어형태 :?상하개폐살균방식 :?고온세척기능 :?회전노즐, 고온직수강력세척안전기능 :?어린이잠금조작부 :?터치식제품크기 :?555 x 450 x 500mm색상 :?핑크용도 :?가정용소비전력 :?1,760~2,100W무게 :?21kg제품정보더보기",0,삼성전자 삼성 DW30A3030CP,590000,100,https://shopping-phinf.pstatic.net/main_2859016/28590160559.20210826173122.jpg?type=f640
97,0,"세척코스 :?강력, 표준, 자동, 급속형태 :?빌트인건조방식 :?열풍건조용량 :?12인용기능 :?살균+건조도어형태 :?상하개폐세척기능 :?회전노즐선반 :?3단1회물소비량 :?10L이상조작부 :?터치식제품크기 :?587 x 815 x 570mm색상 :?코타 / 새틴 / 글램용도 :?가정용소비전력 :?1,760W무게 :?37.5kg제품정보더보기",0,삼성전자 비스포크 DW60B5095UG,799000,100,https://shopping-phinf.pstatic.net/main_3040210/30402108618.20220103142842.jpg?type=f640
98,0,"세척코스 :?강력, 표준, 자동, 불림, 섬세, 급속, 헹굼건조형태 :?빌트인건조방식 :?자동문열림용량 :?8인용부가기능 :?다용도선반, 추가헹굼1회물소비량 :?10L이상안전기능 :?어린이잠금, 아쿠아스탑조작부 :?터치식제품크기 :?45 x 81.5 x 55 cm 소음 :?48dB용도 :?가정용무게 :?35.5kg제품정보더보기",0,삼성전자 삼성 DW50R4055BB,469000,100,https://shopping-phinf.pstatic.net/main_1944758/19447580725.20190807155612.jpg?type=f640
99,0,"형태 :?프리스탠딩건조방식 :?자동문열림, 강력건조용량 :?8인용부가기능 :?바구니높이조절살균방식 :?스팀안전기능 :?누수감지, 안전잠금, 아쿠아스탑소독방식 :?열탕소독제품크기 :?44.9 x 84.5 x 60cm용도 :?가정용제품정보더보기",0,삼성전자 삼성 DW50T4065SS,645180,100,https://shopping-phinf.pstatic.net/main_2331751/23317510493.20200716122753.jpg?type=f640
100,0,"세척코스 :?강력, 표준, 자동, 불림, 급속, 살균, 유리, 헹굼, 내부, 예약형태 :?빌트인건조방식 :?자동문열림, 강력건조용량 :?12인용부가기능 :?저소음, 스마트폰제어, WI-FI, 바구니높이조절살균방식 :?고온1회물소비량 :?10L이상안전기능 :?누수감지, 안전잠금, 아쿠아스탑디스플레이 :?있음조작부 :?터치식제품크기 :?59.8 x 84.5 x 60 cm 용도 :?가정용무게 :?47kg제품정보더보기",0,삼성전자 삼성 DW60T8075FG,781430,100,https://shopping-phinf.pstatic.net/main_2331990/23319908491.20200716122615.jpg?type=f640
101,0,"세척코스 :?강력, 표준, 자동, 불림, 섬세, 급속, 헹굼건조형태 :?프리스탠딩용량 :?8인용조작부 :?버튼식제품크기 :?449 x 845 x 600 mm색상 :?리얼 스테인리스무게 :?42.5 kg제품정보더보기",0,삼성전자 삼성 DW50R4055FS,1379290,100,https://shopping-phinf.pstatic.net/main_1938833/19388334840.20190807155444.jpg?type=f640
102,0,"화구수 :?2구설치형태 :?프리스탠딩안전기능 :?잔열표시, 자동전원차단, 어린이잠금화구출력 :?3300W조작부 :?다이얼식온도조절 :?9단조리모드 :?자동요리타이머 :?99분제품크기 :?32 x 59.7 x 4.6cm편의기능 :?터보부스터, 용기감지무게 :?5.6kg색상 :?화이트제품정보더보기",0,삼성전자 삼성 더플레이트 NZ60R7703PW,475000,100,https://shopping-phinf.pstatic.net/main_2128433/21284337193.20200220172746.jpg?type=f640
